,Name,Singer,mood
0,All Messed Up,Sum 41,Angry
1,All Nightmare Long , Metallica,Angry
2,American Idiot (Album Version) , Green Day,Angry
3,Angry Again , Megadeth,Angry
4,Annihilation By The Hands Of God (Album Version) , Roadrunner United ,Angry
5,Another Time Around,Sum 41,Angry
6,Awaken,Disturbed,Angry
7,Ballad Of Ira Hayes,Johnny Cash,Angry
8,Battery , Metallica,Angry
9,Before You Die,Bad Religion,Angry
10,Blood Red,Slayer,Angry
11,You Oughta Know,Alanis Morissette,Angry
12,Blood Roses , Tori Amos,Angry
13,Break Stuff,Limp Bizkit,Angry
14,Breaking The Law , Judas Priest,Angry
15,Breaking Your Own Heart,Kelly Clarkson,Angry
16,Burn In My Light,Mercy Drive,Angry
17,Cage The Beast , Adelitas Way,Angry
18,Civil War , Guns N' Roses,Angry
19,Cleanin Out My Closet,Eminem,Angry
20,Costume Makes The Clown,Shakira,Angry
21,Creeping Death , Metallica,Angry
22,Criminal,Eminem,Angry
23,Dark Side,Kelly Clarkson,Angry
24,Dead And Gone , T.I.,Angry
25,Dead Beat , A Place To Bury Strangers,Angry
26,Dear Father,Sum 41,Angry
27,Defy You , The Offspring,Angry
28,do what they say,Korn,Angry
29,Don'T Cry,Guns N' Roses,Angry
30,Dope Hat , Marilyn Manson,Angry
31,Eat You Alive , Limp Bizkit,Angry
32,eminem,no afraid,Angry
33,"Endless, Nameless",Nirvana,Angry
34,Enter Sandman,Metallica,Angry
35,Erased,Annie Lennox,Angry
36,ever be,Korn,Angry
37,Evolution,Korn,Angry
38,Exit , Longwave,Angry
39,Eyeless [Explicit],Slipknot,Angry
40,Fat Lip,SUM 41,Angry
41,Flat On The Floor,Nickelback,Angry
42,Fuel , Metallica,Angry
43,Get Me Gone,Fort Minor,Angry
44,Going Through Changes,Eminem,Angry
45,Gone , Kelly Clarkson,Angry
46,Gunpowder & Lead,Miranda Lambert,Angry
47,Handle This,SUM 41,Angry
48,Hardly Wait,Pj Harvey,Angry
49,Heresy,Nine Inch Nails,Angry
50,Hero of the Soviet Union,The Dillinger Escape Plan,Angry
51,Hide And Seek,Dannii Minogue,Angry
52,Hit The Lights , Metallica,Angry
53,Holiday (Album Version) , Green Day,Angry
54,Hurt , Adelitas Way,Angry
55,I Ain'T Goin' Out Like That,Cypress Hill,Angry
56,I Am Hated (Album Version),161,Angry
57,I Hate Everything About You,Three Days Grace,Angry
58,I'M Back,Eminem,Angry
59,In My Darkest Hour , Megadeth,Angry
60,Jesus Christ Pose , Soundgarden,Angry
61,Jumpdafuckup (Album Version),Soulfly,Angry
62,â€™Till I Collapse,Eminem feat. Nate Dogg,Angry
63,Kill You,Eminem,Angry
64,kiss,Korn,Angry
65,Kiss Off,Violent Femmes,Angry
66,Lamb Of God,Marilyn Mans,Angry
67,Leper Messiah , Metallica,Angry
68,Let Me Down,Kelly Clarkson,Angry
69,Liberate , Disturbed,Angry
70,Like Toy Soldiers , Eminem,Angry
71,Limp Bizkit,The Truth,Angry
72,Little Smirk,Theory Of A Deadman,Angry
73,Lose Yourself,Eminem,Angry
74,Lunchbox,Marilyn Manson,Angry
75,Marshall Mathers,Eminem,Angry
76,Master Of Puppets,Metallica,Angry
77,Maybe , Kelly Clarkson,Angry
78,Motivation,SUM 41,Angry
79,Motorbreath , Metallica,Angry
80,Mr. Know It All , Kelly Clarkson,Angry
81,Music Box,Eminem,Angry
82,My Derailment,Adelitas Way,Angry
83,My Life Would Suck Without You,Kelly Clarkson,Angry
84,Never Again , Kelly Clarkson,Angry
85,Nookie , Limp Bizkit,Angry
86,Nothing Else Matters,Metallica,Angry
87,One Mic , Nas,Angry
88,Only,Nine Inch Nails,Angry
89,Orchids,Stone Sour,Angry
90,Paint It Black,Vanessa Carlton,Angry
91,Pancake,Tori Amos,Angry
92,Physical (You'Re So),Nine Inch Nails,Angry
93,Pick Up the Phone,Falling In Reverse,Angry
94,Picture To Burn,Taylor Swift,Angry
95,Pig,Sparklehorse,Angry
96,Playing Your Song,Hole,Angry
97,Pretend We'Re Dead , L7,Angry
98,Pretty Fly (For A White Guy) , The Offspring,Angry
99,Pride,Manchester Orchestra,Angry
100,'Till I Collapse,Eminem,Angry
101,25 To Life,Eminem,Angry
